BASE_DATE,STOCK_NAME,BOND_CODE,ISSUER_NAME,FACILITY_NAME,OUTSTANDING_AMOUNT,TRADE_RECENCY,TRADE_FREQUENCY,TRADE_TURNOVER,COMPOSITE_LIQUIDITY_SCORE
6/10/2022,WCT IMTN 5.700% 03.03.2119 (Series 2),VZ200021,WCT Holdings Berhad,WCT HOLDINGS BERHAD RM1.0 BILLION PERPETUAL SUKUK MUSHARAKAH,204500000,3,1,2,2
6/10/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,5,2,3,3.33333
6/10/2022,WCT IMTN 5.700% 03.03.2119 (Series 2),VZ200021,WCT Holdings Berhad,WCT HOLDINGS BERHAD RM1.0 BILLION PERPETUAL SUKUK MUSHARAKAH,204500000,3,1,2,2
6/10/2022,PKNS IMTN 5.010% 26.10.2023,VI180294,Perbadanan Kemajuan Negeri Selangor,PKNS RM1.7B IMTN PROGRAMME,100000000,5,1,4,3.33333
6/10/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,5,2,3,3.33333
6/10/2022,PKNS IMTN 5.010% 26.10.2023,VI180294,Perbadanan Kemajuan Negeri Selangor,PKNS RM1.7B IMTN PROGRAMME,100000000,5,1,5,3.66667
6/10/2022,WCT IMTN 5.700% 03.03.2119 (Series 2),VZ200021,WCT Holdings Berhad,WCT HOLDINGS BERHAD RM1.0 BILLION PERPETUAL SUKUK MUSHARAKAH,204500000,3,1,3,2.33333
5/10/2022,PKNS IMTN 5.010% 26.10.2023,VI180294,Perbadanan Kemajuan Negeri Selangor,PKNS RM1.7B IMTN PROGRAMME,100000000,5,1,5,3.66667
5/10/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,5,2,3,3.33333
5/10/2022,PKNS IMTN 5.010% 26.10.2023,VI180294,Perbadanan Kemajuan Negeri Selangor,PKNS RM1.7B IMTN PROGRAMME,100000000,5,1,4,3.33333
5/10/2022,PKNS IMTN 5.010% 26.10.2023,VI180294,Perbadanan Kemajuan Negeri Selangor,PKNS RM1.7B IMTN PROGRAMME,100000000,5,1,5,3.66667
5/10/2022,WCT IMTN 5.700% 03.03.2119 (Series 2),VZ200021,WCT Holdings Berhad,WCT HOLDINGS BERHAD RM1.0 BILLION PERPETUAL SUKUK MUSHARAKAH,204500000,3,1,2,2
5/10/2022,PKNS IMTN 5.010% 26.10.2023,VI180294,Perbadanan Kemajuan Negeri Selangor,PKNS RM1.7B IMTN PROGRAMME,100000000,5,1,4,3.33333
5/10/2022,WCT IMTN 5.700% 03.03.2119 (Series 2),VZ200021,WCT Holdings Berhad,WCT HOLDINGS BERHAD RM1.0 BILLION PERPETUAL SUKUK MUSHARAKAH,204500000,3,1,2,2
5/10/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,5,2,3,3.33333
5/10/2022,WCT IMTN 5.700% 03.03.2119 (Series 2),VZ200021,WCT Holdings Berhad,WCT HOLDINGS BERHAD RM1.0 BILLION PERPETUAL SUKUK MUSHARAKAH,204500000,3,1,3,2.33333
5/10/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,5,2,3,3.33333
5/10/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,5,2,3,3.33333
4/10/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,5,2,3,3.33333
4/10/2022,PKNS IMTN 5.010% 26.10.2023,VI180294,Perbadanan Kemajuan Negeri Selangor,PKNS RM1.7B IMTN PROGRAMME,100000000,3,1,4,2.66667
4/10/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,5,2,3,3.33333
4/10/2022,PKNS IMTN 5.010% 26.10.2023,VI180294,Perbadanan Kemajuan Negeri Selangor,PKNS RM1.7B IMTN PROGRAMME,100000000,3,1,4,2.66667
4/10/2022,WCT IMTN 5.700% 03.03.2119 (Series 2),VZ200021,WCT Holdings Berhad,WCT HOLDINGS BERHAD RM1.0 BILLION PERPETUAL SUKUK MUSHARAKAH,204500000,3,1,3,2.33333
4/10/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,5,2,3,3.33333
4/10/2022,PKNS IMTN 5.010% 26.10.2023,VI180294,Perbadanan Kemajuan Negeri Selangor,PKNS RM1.7B IMTN PROGRAMME,100000000,3,1,4,2.66667
4/10/2022,WCT IMTN 5.700% 03.03.2119 (Series 2),VZ200021,WCT Holdings Berhad,WCT HOLDINGS BERHAD RM1.0 BILLION PERPETUAL SUKUK MUSHARAKAH,204500000,3,1,2,2
4/10/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,5,2,3,3.33333
4/10/2022,WCT IMTN 5.700% 03.03.2119 (Series 2),VZ200021,WCT Holdings Berhad,WCT HOLDINGS BERHAD RM1.0 BILLION PERPETUAL SUKUK MUSHARAKAH,204500000,3,1,2,2
3/10/2022,WCT IMTN 5.700% 03.03.2119 (Series 2),VZ200021,WCT Holdings Berhad,WCT HOLDINGS BERHAD RM1.0 BILLION PERPETUAL SUKUK MUSHARAKAH,204500000,3,1,2,2
3/10/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,5,2,3,3.33333
3/10/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,5,2,3,3.33333
3/10/2022,WCT IMTN 5.700% 03.03.2119 (Series 2),VZ200021,WCT Holdings Berhad,WCT HOLDINGS BERHAD RM1.0 BILLION PERPETUAL SUKUK MUSHARAKAH,204500000,3,1,3,2.33333
3/10/2022,PKNS IMTN 5.010% 26.10.2023,VI180294,Perbadanan Kemajuan Negeri Selangor,PKNS RM1.7B IMTN PROGRAMME,100000000,3,1,4,2.66667
3/10/2022,PKNS IMTN 5.010% 26.10.2023,VI180294,Perbadanan Kemajuan Negeri Selangor,PKNS RM1.7B IMTN PROGRAMME,100000000,3,1,4,2.66667
3/10/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,5,2,3,3.33333
3/10/2022,PKNS IMTN 5.010% 26.10.2023,VI180294,Perbadanan Kemajuan Negeri Selangor,PKNS RM1.7B IMTN PROGRAMME,100000000,3,1,4,2.66667
3/10/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,5,2,3,3.33333
3/10/2022,WCT IMTN 5.700% 03.03.2119 (Series 2),VZ200021,WCT Holdings Berhad,WCT HOLDINGS BERHAD RM1.0 BILLION PERPETUAL SUKUK MUSHARAKAH,204500000,3,1,2,2
30/9/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,5,2,3,3.33333
30/9/2022,PKNS IMTN 5.010% 26.10.2023,VI180294,Perbadanan Kemajuan Negeri Selangor,PKNS RM1.7B IMTN PROGRAMME,100000000,3,1,4,2.66667
30/9/2022,PKNS IMTN 5.010% 26.10.2023,VI180294,Perbadanan Kemajuan Negeri Selangor,PKNS RM1.7B IMTN PROGRAMME,100000000,3,1,4,2.66667
30/9/2022,WCT IMTN 5.700% 03.03.2119 (Series 2),VZ200021,WCT Holdings Berhad,WCT HOLDINGS BERHAD RM1.0 BILLION PERPETUAL SUKUK MUSHARAKAH,204500000,3,1,1,1.66667
30/9/2022,PKNS IMTN 5.010% 26.10.2023,VI180294,Perbadanan Kemajuan Negeri Selangor,PKNS RM1.7B IMTN PROGRAMME,100000000,3,1,4,2.66667
30/9/2022,WCT IMTN 5.700% 03.03.2119 (Series 2),VZ200021,WCT Holdings Berhad,WCT HOLDINGS BERHAD RM1.0 BILLION PERPETUAL SUKUK MUSHARAKAH,204500000,3,1,2,2
30/9/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,5,2,2,3
30/9/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,5,2,3,3.33333
30/9/2022,WCT IMTN 5.700% 03.03.2119 (Series 2),VZ200021,WCT Holdings Berhad,WCT HOLDINGS BERHAD RM1.0 BILLION PERPETUAL SUKUK MUSHARAKAH,204500000,3,1,3,2.33333
30/9/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,5,2,2,3
29/9/2022,PKNS IMTN 5.010% 26.10.2023,VI180294,Perbadanan Kemajuan Negeri Selangor,PKNS RM1.7B IMTN PROGRAMME,100000000,3,1,4,2.66667
29/9/2022,PKNS IMTN 5.010% 26.10.2023,VI180294,Perbadanan Kemajuan Negeri Selangor,PKNS RM1.7B IMTN PROGRAMME,100000000,3,1,4,2.66667
29/9/2022,WCT IMTN 5.700% 03.03.2119 (Series 2),VZ200021,WCT Holdings Berhad,WCT HOLDINGS BERHAD RM1.0 BILLION PERPETUAL SUKUK MUSHARAKAH,204500000,3,1,1,1.66667
29/9/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,5,2,3,3.33333
29/9/2022,WCT IMTN 5.700% 03.03.2119 (Series 2),VZ200021,WCT Holdings Berhad,WCT HOLDINGS BERHAD RM1.0 BILLION PERPETUAL SUKUK MUSHARAKAH,204500000,3,1,2,2
29/9/2022,PKNS IMTN 5.010% 26.10.2023,VI180294,Perbadanan Kemajuan Negeri Selangor,PKNS RM1.7B IMTN PROGRAMME,100000000,3,1,4,2.66667
29/9/2022,WCT IMTN 5.700% 03.03.2119 (Series 2),VZ200021,WCT Holdings Berhad,WCT HOLDINGS BERHAD RM1.0 BILLION PERPETUAL SUKUK MUSHARAKAH,204500000,3,1,3,2.33333
29/9/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,5,2,3,3.33333
29/9/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,5,2,1,2.66667
29/9/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,5,2,2,3
28/9/2022,PKNS IMTN 5.010% 26.10.2023,VI180294,Perbadanan Kemajuan Negeri Selangor,PKNS RM1.7B IMTN PROGRAMME,100000000,3,1,4,2.66667
28/9/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,5,2,3,3.33333
28/9/2022,WCT IMTN 5.700% 03.03.2119 (Series 2),VZ200021,WCT Holdings Berhad,WCT HOLDINGS BERHAD RM1.0 BILLION PERPETUAL SUKUK MUSHARAKAH,204500000,3,1,3,2.33333
28/9/2022,WCT IMTN 5.700% 03.03.2119 (Series 2),VZ200021,WCT Holdings Berhad,WCT HOLDINGS BERHAD RM1.0 BILLION PERPETUAL SUKUK MUSHARAKAH,204500000,3,1,2,2
28/9/2022,PKNS IMTN 5.010% 26.10.2023,VI180294,Perbadanan Kemajuan Negeri Selangor,PKNS RM1.7B IMTN PROGRAMME,100000000,3,1,4,2.66667
28/9/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,5,2,2,3
28/9/2022,PKNS IMTN 5.010% 26.10.2023,VI180294,Perbadanan Kemajuan Negeri Selangor,PKNS RM1.7B IMTN PROGRAMME,100000000,3,1,4,2.66667
28/9/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,5,2,3,3.33333
28/9/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,5,2,1,2.66667
28/9/2022,WCT IMTN 5.700% 03.03.2119 (Series 2),VZ200021,WCT Holdings Berhad,WCT HOLDINGS BERHAD RM1.0 BILLION PERPETUAL SUKUK MUSHARAKAH,204500000,3,1,1,1.66667
27/9/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,5,2,2,3
27/9/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,5,2,3,3.33333
27/9/2022,WCT IMTN 5.700% 03.03.2119 (Series 2),VZ200021,WCT Holdings Berhad,WCT HOLDINGS BERHAD RM1.0 BILLION PERPETUAL SUKUK MUSHARAKAH,204500000,3,1,3,2.33333
27/9/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,5,1,1,2.33333
27/9/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,5,2,3,3.33333
27/9/2022,WCT IMTN 5.700% 03.03.2119 (Series 2),VZ200021,WCT Holdings Berhad,WCT HOLDINGS BERHAD RM1.0 BILLION PERPETUAL SUKUK MUSHARAKAH,204500000,3,1,2,2
27/9/2022,PKNS IMTN 5.010% 26.10.2023,VI180294,Perbadanan Kemajuan Negeri Selangor,PKNS RM1.7B IMTN PROGRAMME,100000000,3,1,4,2.66667
27/9/2022,WCT IMTN 5.700% 03.03.2119 (Series 2),VZ200021,WCT Holdings Berhad,WCT HOLDINGS BERHAD RM1.0 BILLION PERPETUAL SUKUK MUSHARAKAH,204500000,3,1,1,1.66667
27/9/2022,PKNS IMTN 5.010% 26.10.2023,VI180294,Perbadanan Kemajuan Negeri Selangor,PKNS RM1.7B IMTN PROGRAMME,100000000,3,1,4,2.66667
27/9/2022,PKNS IMTN 5.010% 26.10.2023,VI180294,Perbadanan Kemajuan Negeri Selangor,PKNS RM1.7B IMTN PROGRAMME,100000000,3,1,4,2.66667
26/9/2022,PKNS IMTN 5.010% 26.10.2023,VI180294,Perbadanan Kemajuan Negeri Selangor,PKNS RM1.7B IMTN PROGRAMME,100000000,3,1,4,2.66667
26/9/2022,WCT IMTN 5.700% 03.03.2119 (Series 2),VZ200021,WCT Holdings Berhad,WCT HOLDINGS BERHAD RM1.0 BILLION PERPETUAL SUKUK MUSHARAKAH,204500000,3,1,1,1.66667
26/9/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,4,2,3,3
26/9/2022,PKNS IMTN 5.010% 26.10.2023,VI180294,Perbadanan Kemajuan Negeri Selangor,PKNS RM1.7B IMTN PROGRAMME,100000000,3,1,4,2.66667
26/9/2022,WCT IMTN 5.700% 03.03.2119 (Series 2),VZ200021,WCT Holdings Berhad,WCT HOLDINGS BERHAD RM1.0 BILLION PERPETUAL SUKUK MUSHARAKAH,204500000,3,1,2,2
26/9/2022,WCT IMTN 5.700% 03.03.2119 (Series 2),VZ200021,WCT Holdings Berhad,WCT HOLDINGS BERHAD RM1.0 BILLION PERPETUAL SUKUK MUSHARAKAH,204500000,3,1,3,2.33333
26/9/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,4,2,3,3
26/9/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,4,1,1,2
26/9/2022,PKNS IMTN 5.010% 26.10.2023,VI180294,Perbadanan Kemajuan Negeri Selangor,PKNS RM1.7B IMTN PROGRAMME,100000000,3,1,4,2.66667
26/9/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,4,2,2,2.66667
23/9/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,4,2,2,2.66667
23/9/2022,PKNS IMTN 5.010% 26.10.2023,VI180294,Perbadanan Kemajuan Negeri Selangor,PKNS RM1.7B IMTN PROGRAMME,100000000,3,1,4,2.66667
23/9/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,4,2,3,3
23/9/2022,WCT IMTN 5.700% 03.03.2119 (Series 2),VZ200021,WCT Holdings Berhad,WCT HOLDINGS BERHAD RM1.0 BILLION PERPETUAL SUKUK MUSHARAKAH,204500000,3,1,2,2
23/9/2022,PKNS IMTN 5.010% 26.10.2023,VI180294,Perbadanan Kemajuan Negeri Selangor,PKNS RM1.7B IMTN PROGRAMME,100000000,3,1,4,2.66667
23/9/2022,PKNS IMTN 5.010% 26.10.2023,VI180294,Perbadanan Kemajuan Negeri Selangor,PKNS RM1.7B IMTN PROGRAMME,100000000,3,1,4,2.66667
23/9/2022,WCT IMTN 5.700% 03.03.2119 (Series 2),VZ200021,WCT Holdings Berhad,WCT HOLDINGS BERHAD RM1.0 BILLION PERPETUAL SUKUK MUSHARAKAH,204500000,3,1,3,2.33333
23/9/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,4,2,3,3
23/9/2022,WCT IMTN 5.700% 03.03.2119 (Series 2),VZ200021,WCT Holdings Berhad,WCT HOLDINGS BERHAD RM1.0 BILLION PERPETUAL SUKUK MUSHARAKAH,204500000,3,1,1,1.66667
23/9/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,4,1,1,2
22/9/2022,WCT IMTN 5.700% 03.03.2119 (Series 2),VZ200021,WCT Holdings Berhad,WCT HOLDINGS BERHAD RM1.0 BILLION PERPETUAL SUKUK MUSHARAKAH,204500000,3,1,1,1.66667
22/9/2022,WCT IMTN 5.700% 03.03.2119 (Series 2),VZ200021,WCT Holdings Berhad,WCT HOLDINGS BERHAD RM1.0 BILLION PERPETUAL SUKUK MUSHARAKAH,204500000,3,1,3,2.33333
22/9/2022,PKNS IMTN 5.010% 26.10.2023,VI180294,Perbadanan Kemajuan Negeri Selangor,PKNS RM1.7B IMTN PROGRAMME,100000000,3,1,4,2.66667
22/9/2022,WCT IMTN 5.700% 03.03.2119 (Series 2),VZ200021,WCT Holdings Berhad,WCT HOLDINGS BERHAD RM1.0 BILLION PERPETUAL SUKUK MUSHARAKAH,204500000,3,1,2,2
22/9/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,4,1,1,2
22/9/2022,PKNS IMTN 5.010% 26.10.2023,VI180294,Perbadanan Kemajuan Negeri Selangor,PKNS RM1.7B IMTN PROGRAMME,100000000,3,1,4,2.66667
22/9/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,4,2,2,2.66667
22/9/2022,PKNS IMTN 5.010% 26.10.2023,VI180294,Perbadanan Kemajuan Negeri Selangor,PKNS RM1.7B IMTN PROGRAMME,100000000,3,1,4,2.66667
22/9/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,4,2,3,3
22/9/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,4,2,3,3
21/9/2022,WCT IMTN 5.700% 03.03.2119 (Series 2),VZ200021,WCT Holdings Berhad,WCT HOLDINGS BERHAD RM1.0 BILLION PERPETUAL SUKUK MUSHARAKAH,204500000,3,1,1,1.66667
21/9/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,4,2,2,2.66667
21/9/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,4,2,3,3
21/9/2022,PKNS IMTN 5.010% 26.10.2023,VI180294,Perbadanan Kemajuan Negeri Selangor,PKNS RM1.7B IMTN PROGRAMME,100000000,3,1,4,2.66667
21/9/2022,PKNS IMTN 5.010% 26.10.2023,VI180294,Perbadanan Kemajuan Negeri Selangor,PKNS RM1.7B IMTN PROGRAMME,100000000,3,1,4,2.66667
21/9/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,4,1,1,2
21/9/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,4,2,3,3
21/9/2022,PKNS IMTN 5.010% 26.10.2023,VI180294,Perbadanan Kemajuan Negeri Selangor,PKNS RM1.7B IMTN PROGRAMME,100000000,3,1,4,2.66667
21/9/2022,WCT IMTN 5.700% 03.03.2119 (Series 2),VZ200021,WCT Holdings Berhad,WCT HOLDINGS BERHAD RM1.0 BILLION PERPETUAL SUKUK MUSHARAKAH,204500000,3,1,2,2
21/9/2022,WCT IMTN 5.700% 03.03.2119 (Series 2),VZ200021,WCT Holdings Berhad,WCT HOLDINGS BERHAD RM1.0 BILLION PERPETUAL SUKUK MUSHARAKAH,204500000,3,1,3,2.33333
20/9/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,4,2,2,2.66667
20/9/2022,PKNS IMTN 5.010% 26.10.2023,VI180294,Perbadanan Kemajuan Negeri Selangor,PKNS RM1.7B IMTN PROGRAMME,100000000,3,1,4,2.66667
20/9/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,4,2,3,3
20/9/2022,WCT IMTN 5.700% 03.03.2119 (Series 2),VZ200021,WCT Holdings Berhad,WCT HOLDINGS BERHAD RM1.0 BILLION PERPETUAL SUKUK MUSHARAKAH,204500000,3,1,1,1.66667
20/9/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,4,1,1,2
20/9/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,4,2,3,3
20/9/2022,WCT IMTN 5.700% 03.03.2119 (Series 2),VZ200021,WCT Holdings Berhad,WCT HOLDINGS BERHAD RM1.0 BILLION PERPETUAL SUKUK MUSHARAKAH,204500000,3,1,3,2.33333
20/9/2022,PKNS IMTN 5.010% 26.10.2023,VI180294,Perbadanan Kemajuan Negeri Selangor,PKNS RM1.7B IMTN PROGRAMME,100000000,3,1,4,2.66667
20/9/2022,WCT IMTN 5.700% 03.03.2119 (Series 2),VZ200021,WCT Holdings Berhad,WCT HOLDINGS BERHAD RM1.0 BILLION PERPETUAL SUKUK MUSHARAKAH,204500000,3,1,2,2
20/9/2022,PKNS IMTN 5.010% 26.10.2023,VI180294,Perbadanan Kemajuan Negeri Selangor,PKNS RM1.7B IMTN PROGRAMME,100000000,3,1,4,2.66667
19/9/2022,TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1,PZ190011,Tropicana Corporation Berhad,TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME,248000000,4,2,3,3
19/9/2022,WCT IMTN 5.700% 03.03.2119 (Series 2),VZ200021,WCT Holdings Berhad,WCT HOLDINGS BERHAD RM1.0 BILLION PERPETUAL SUKUK MUSHARAKAH,204500000,3,1,3,2.33333
19/9/2022,PKNS IMTN 5.010% 26.10.2023,VI180294,Perbadanan Kemajuan Negeri Selangor,PKNS RM1.7B IMTN PROGRAMME,100000000,3,1,4,2.66667
19/9/2022,WCT IMTN 5.700% 03.03.2119 (Series 2),VZ200021,WCT Holdings Berhad,WCT HOLDINGS BERHAD RM1.0 BILLION PERPETUAL SUKUK MUSHARAKAH,204500000,3,1,2,2
19/9/2022,PKNS IMTN 5.010% 26.10.2023,VI180294,Perbadanan Kemajuan Negeri Selangor,PKNS RM1.7B IMTN PROGRAMME,100000000,3,1,4,2.66667
