"BASE_DATE","STOCK_NAME","STOCK_CODE","ISSUER_NAME","FACILITY_NAME","OUTSTANDING_AMOUNT","TRADE_RECENCY","TRADE_FREQUENCY","TRADE_TURNOVER","COMPOSITE_LIQUIDITY_SCORE"
08/02/2023,"WCT IMTN 5.700% 03.03.2119 (Series 2)","VZ200021","WCT Holdings Berhad","WCT HOLDINGS BERHAD RM1.0 BILLION PERPETUAL SUKUK MUSHARAKAH",204500000,4,1,4,3
08/02/2023,"WCT IMTN 5.700% 03.03.2119 (Series 2)","VZ200021","WCT Holdings Berhad","WCT HOLDINGS BERHAD RM1.0 BILLION PERPETUAL SUKUK MUSHARAKAH",204500000,4,1,3,2.66667
08/02/2023,"WCT IMTN 5.700% 03.03.2119 (Series 2)","VZ200021","WCT Holdings Berhad","WCT HOLDINGS BERHAD RM1.0 BILLION PERPETUAL SUKUK MUSHARAKAH",204500000,4,1,5,3.33333
08/02/2023,"PKNS IMTN 5.010% 26.10.2023","VI180294","Perbadanan Kemajuan Negeri Selangor","PKNS RM1.7B IMTN PROGRAMME",100000000,2,1,4,2.33333
07/02/2023,"PKNS IMTN 5.010% 26.10.2023","VI180294","Perbadanan Kemajuan Negeri Selangor","PKNS RM1.7B IMTN PROGRAMME",100000000,2,1,2,1.66667
07/02/2023,"TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1","PZ190011","Tropicana Corporation Berhad","TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME",248000000,4,1,1,2
07/02/2023,"WCT IMTN 5.700% 03.03.2119 (Series 2)","VZ200021","WCT Holdings Berhad","WCT HOLDINGS BERHAD RM1.0 BILLION PERPETUAL SUKUK MUSHARAKAH",204500000,4,1,3,2.66667
07/02/2023,"WCT IMTN 5.700% 03.03.2119 (Series 2)","VZ200021","WCT Holdings Berhad","WCT HOLDINGS BERHAD RM1.0 BILLION PERPETUAL SUKUK MUSHARAKAH",204500000,4,1,3,2.66667
07/02/2023,"WCT IMTN 5.700% 03.03.2119 (Series 2)","VZ200021","WCT Holdings Berhad","WCT HOLDINGS BERHAD RM1.0 BILLION PERPETUAL SUKUK MUSHARAKAH",204500000,4,1,5,3.33333
07/02/2023,"TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1","PZ190011","Tropicana Corporation Berhad","TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME",248000000,4,2,3,3
07/02/2023,"TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1","PZ190011","Tropicana Corporation Berhad","TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME",248000000,4,1,1,2
07/02/2023,"WCT IMTN 5.700% 03.03.2119 (Series 2)","VZ200021","WCT Holdings Berhad","WCT HOLDINGS BERHAD RM1.0 BILLION PERPETUAL SUKUK MUSHARAKAH",204500000,4,1,4,3
07/02/2023,"TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1","PZ190011","Tropicana Corporation Berhad","TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME",248000000,4,2,2,2.66667
07/02/2023,"PKNS IMTN 5.010% 26.10.2023","VI180294","Perbadanan Kemajuan Negeri Selangor","PKNS RM1.7B IMTN PROGRAMME",100000000,2,1,4,2.33333
03/02/2023,"WCT IMTN 5.700% 03.03.2119 (Series 2)","VZ200021","WCT Holdings Berhad","WCT HOLDINGS BERHAD RM1.0 BILLION PERPETUAL SUKUK MUSHARAKAH",204500000,4,1,3,2.66667
03/02/2023,"PKNS IMTN 5.010% 26.10.2023","VI180294","Perbadanan Kemajuan Negeri Selangor","PKNS RM1.7B IMTN PROGRAMME",100000000,2,1,4,2.33333
03/02/2023,"TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1","PZ190011","Tropicana Corporation Berhad","TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME",248000000,4,1,1,2
03/02/2023,"PKNS IMTN 5.010% 26.10.2023","VI180294","Perbadanan Kemajuan Negeri Selangor","PKNS RM1.7B IMTN PROGRAMME",100000000,2,1,2,1.66667
03/02/2023,"TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1","PZ190011","Tropicana Corporation Berhad","TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME",248000000,4,1,1,2
03/02/2023,"WCT IMTN 5.700% 03.03.2119 (Series 2)","VZ200021","WCT Holdings Berhad","WCT HOLDINGS BERHAD RM1.0 BILLION PERPETUAL SUKUK MUSHARAKAH",204500000,4,1,4,3
03/02/2023,"TROPICANA 7.000% PERPETUAL SUKUK MUSHARAKAH - T1","PZ190011","Tropicana Corporation Berhad","TROPICANA RM2.0B PERPETUAL SUKUK PROGRAMME",248000000,4,2,3,3
03/02/2023,"WCT IMTN 5.700% 03.03.2119 (Series 2)","VZ200021","WCT Holdings Berhad","WCT HOLDINGS BERHAD RM1.0 BILLION PERPETUAL SUKUK MUSHARAKAH",204500000,4,1,5,3.33333
